gatId,gatIdGr,street,houseNo,eldership,place,longitude,latitude,fullAddress,geometry,traffic_noise,railway_noise,airport_noise,heating_score
31891,966,A. Baranausko g.,8,Lazdynai,Vilnius,25.19142,54.67501,A. Baranausko g. 8,POINT (25.19142 54.67501),45-49,0-34,0-34,
32087,975,J. Vitkaus-Kazimieraičio g.,16,Lazdynai,Vilnius,25.18919,54.67459,J. Vitkaus-Kazimieraičio g. 16,POINT (25.18919 54.67459),55-59,0-34,0-34,
22048,195,Jankiškių g.,29,Vilkpėdė,Vilnius,25.18843,54.65408,Jankiškių g. 29,POINT (25.18843 54.65408),0-34,40-44,0-34,
22048,195,Jankiškių g.,31,Vilkpėdė,Vilnius,25.18825,54.65354,Jankiškių g. 31,POINT (25.18825 54.65354),0-34,35-39,0-34,
22248,403,Pavilnio g.,40A,Naujoji Vilnia,Vilnius,25.34821,54.6771,Pavilnio g. 40A,POINT (25.34821 54.6771),0-34,60-64,40-44,
22384,545,Titnago g.,15,Vilkpėdė,Vilnius,25.19195,54.64677,Titnago g. 15,POINT (25.19195 54.64677),50-54,40-44,0-34,
53436,2309,Eišiškių Sodų 7-oji g.,20,Naujininkai,Vilnius,25.25134,54.6247,Eišiškių Sodų 7-oji g. 20,POINT (25.25134 54.6247),55-59,0-34,40-44,
85528,2855,Birelių Sodų g.,49,Verkiai,Vilnius,25.32513,54.82641,Birelių Sodų g. 49,POINT (25.32513 54.82641),0-34,0-34,40-44,
22194,347,Miškinių g.,11,Lazdynai,Vilnius,25.22863,54.6729,Miškinių g. 11,POINT (25.22863 54.6729),60-64,35-39,0-34,
85528,2855,Birelių Sodų g.,47,Verkiai,Vilnius,25.32542,54.8262,Birelių Sodų g. 47,POINT (25.32542 54.8262),0-34,0-34,40-44,
28274,840,Parodų g.,6,Lazdynai,Vilnius,25.22806,54.67394,Parodų g. 6,POINT (25.22806 54.67394),60-64,35-39,0-34,
22194,347,Miškinių g.,3,Lazdynai,Vilnius,25.22879,54.67339,Miškinių g. 3,POINT (25.22879 54.67339),60-64,35-39,0-34,
21989,133,Garsioji g.,9,Naujoji Vilnia,Vilnius,25.35731,54.66652,Garsioji g. 9,POINT (25.35731 54.66652),0-34,35-39,0-34,
21989,133,Garsioji g.,5A,Naujoji Vilnia,Vilnius,25.35581,54.66646,Garsioji g. 5A,POINT (25.35581 54.66646),0-34,35-39,35-39,
21912,54,Bazilijonų g.,12,Senamiestis,Vilnius,25.28868,54.67425,Bazilijonų g. 12,POINT (25.28868 54.67425),45-49,40-44,40-44,
22465,632,Vytenio g.,20,Naujamiestis,Vilnius,25.26508,54.67576,Vytenio g. 20,POINT (25.26508 54.67576),40-44,0-34,0-34,
48916,1615,Noragiškių g.,40,Verkiai,Vilnius,25.25631,54.74798,Noragiškių g. 40,POINT (25.25631 54.74798),45-49,0-34,0-34,
49170,1630,M. Rėmerio g.,10,Antakalnis,Vilnius,25.35,54.72074,M. Rėmerio g. 10,POINT (25.35 54.72074),0-34,0-34,50-54,
53278,2230,Konservatorijos Sodų 2-oji g.,5,Antakalnis,Vilnius,25.38065,54.78181,Konservatorijos Sodų 2-oji g. 5,POINT (25.38065 54.78181),0-34,0-34,45-49,
53278,2230,Konservatorijos Sodų 2-oji g.,9,Antakalnis,Vilnius,25.38014,54.7817,Konservatorijos Sodų 2-oji g. 9,POINT (25.38014 54.7817),0-34,0-34,45-49,
28268,834,Mileišiškių g.,53,Antakalnis,Vilnius,25.35359,54.71519,Mileišiškių g. 53,POINT (25.35359 54.71519),0-34,0-34,50-54,
49696,1642,Pagubės g.,43,Verkiai,Vilnius,25.31456,54.8079,Pagubės g. 43,POINT (25.31456 54.8079),0-34,0-34,40-44,
244560,3152,Danų g.,21,Naujoji Vilnia,Vilnius,25.33975,54.65883,Danų g. 21,POINT (25.33975 54.65883),0-34,35-39,35-39,
244560,3152,Danų g.,17,Naujoji Vilnia,Vilnius,25.33986,54.65905,Danų g. 17,POINT (25.33986 54.65905),0-34,35-39,35-39,
50392,531,Vokės Sodų g. (Grigiškės),41,Grigiškės,Grigiškės,25.07068,54.68856,Vokės Sodų g. 41,POINT (25.07068 54.68856),0-34,0-34,0-34,
72630,2823,Skarbelio Sodų 2-oji g.,4,Antakalnis,Vilnius,25.42455,54.79797,Skarbelio Sodų 2-oji g. 4,POINT (25.42455 54.79797),0-34,0-34,40-44,
53600,2391,Šiaurės Sodų 8-oji g.,23,Naujoji Vilnia,Vilnius,25.3943,54.70537,Šiaurės Sodų 8-oji g. 23,POINT (25.3943 54.70537),0-34,35-39,35-39,
24286,736,Sausio 13-osios g.,9A,Karoliniškės,Vilnius,25.21767,54.69185,Sausio 13-osios g. 9A,POINT (25.21767 54.69185),40-44,0-34,0-34,
24286,736,Sausio 13-osios g.,15,Karoliniškės,Vilnius,25.21607,54.6911,Sausio 13-osios g. 15,POINT (25.21607 54.6911),65-69,0-34,0-34,7.0
24286,736,Sausio 13-osios g.,27,Karoliniškės,Vilnius,25.21676,54.68968,Sausio 13-osios g. 27,POINT (25.21676 54.68968),50-54,0-34,0-34,7.0
24286,736,Sausio 13-osios g.,5,Karoliniškės,Vilnius,25.21919,54.69266,Sausio 13-osios g. 5,POINT (25.21919 54.69266),60-64,0-34,0-34,6.0
22539,1135,Gedvydžių g.,4,Fabijoniškės,Vilnius,25.23551,54.73609,Gedvydžių g. 4,POINT (25.23551 54.73609),55-59,0-34,0-34,8.0
52984,2140,Ungurių g.,14,Lazdynai,Vilnius,25.21084,54.65244,Ungurių g. 14,POINT (25.21084 54.65244),55-59,45-49,0-34,
22539,1135,Gedvydžių g.,25,Fabijoniškės,Vilnius,25.24013,54.73645,Gedvydžių g. 25,POINT (25.24013 54.73645),45-49,0-34,0-34,0.0
22539,1135,Gedvydžių g.,6A,Fabijoniškės,Vilnius,25.23657,54.73613,Gedvydžių g. 6A,POINT (25.23657 54.73613),45-49,0-34,0-34,
21935,79,Užutėkio g.,25,Lazdynai,Vilnius,25.19839,54.65472,Užutėkio g. 25,POINT (25.19839 54.65472),0-34,40-44,0-34,
21935,79,Užutėkio g.,3,Lazdynai,Vilnius,25.20943,54.65082,Užutėkio g. 3,POINT (25.20943 54.65082),50-54,45-49,0-34,
69226,2816,Vismaliukų Sodų 6-oji g.,11,Antakalnis,Vilnius,25.43279,54.75692,Vismaliukų Sodų 6-oji g. 11,POINT (25.43279 54.75692),0-34,0-34,35-39,
28268,834,Mileišiškių g.,25,Antakalnis,Vilnius,25.34863,54.71304,Mileišiškių g. 25,POINT (25.34863 54.71304),0-34,0-34,50-54,
22404,567,Ukmergės g.,137,Šeškinė,Vilnius,25.26076,54.70275,Ukmergės g. 137,POINT (25.26076 54.70275),70-74,0-34,0-34,
59560,2568,Angelavos g.,11,Pilaitė,Vilnius,25.16518,54.7036,Angelavos g. 11,POINT (25.16518 54.7036),0-34,0-34,0-34,
59560,2568,Angelavos g.,35,Pilaitė,Vilnius,25.16396,54.70294,Angelavos g. 35,POINT (25.16396 54.70294),0-34,0-34,0-34,
59560,2568,Angelavos g.,19,Pilaitė,Vilnius,25.165,54.703,Angelavos g. 19,POINT (25.165 54.703),0-34,0-34,0-34,
22444,609,Versmių g.,133,Naujoji Vilnia,Vilnius,25.38058,54.66632,Versmių g. 133,POINT (25.38058 54.66632),0-34,45-49,0-34,
53228,2204,Juodvarnių Sodų 24-oji g.,39,Antakalnis,Vilnius,25.38987,54.72357,Juodvarnių Sodų 24-oji g. 39,POINT (25.38987 54.72357),0-34,0-34,40-44,
60674,2640,Miškinių Sodų 1-oji g.,32,Naujininkai,Vilnius,25.23524,54.58992,Miškinių Sodų 1-oji g. 32,POINT (25.23524 54.58992),0-34,55-59,50-54,
21981,125,Gabijos g.,30,Pašilaičiai,Vilnius,25.22057,54.73521,Gabijos g. 30,POINT (25.22057 54.73521),55-59,0-34,0-34,4.0
