origin_lon,origin_lat,distance_akropolis,time_akropolis,distance_cathedral,time_cathedral,distance_kirtimai,time_kirtimai,distance_shopping_center,time_shopping_center,distance_train_station,time_train_station
25.08882,54.63695,19.60907,29.653000000000002,18.62277,31.011833333333335,8.96409,13.848,19.864939999999997,29.9415,16.99968,28.137999999999998
25.08913,54.63752,18.04682,27.490833333333335,17.06052,28.849666666666668,7.40184,11.685833333333333,18.30269,27.779333333333334,15.43743,25.975833333333334
25.08912,54.63823,17.97174,27.340833333333332,16.98543,28.6995,7.32675,11.535833333333333,18.2276,27.62933333333333,15.362350000000001,25.825666666666667
25.08858,54.63671,19.602040000000002,29.639,18.615740000000002,30.997666666666664,8.95706,13.834,19.85791,29.927500000000002,16.99265,28.123833333333334
25.08924,54.63845,17.946080000000002,27.289499999999997,16.95978,28.648333333333333,7.3011,11.4845,18.20195,27.578,15.33669,25.7745
25.08888,54.63775,18.027279999999998,27.451833333333333,17.04098,28.81066666666667,7.3823,11.646833333333332,18.283150000000003,27.740333333333336,15.41789,25.936666666666667
25.08853,54.63711,18.10193,27.601,17.11563,28.959833333333332,7.4569399999999995,11.796,18.35779,27.889499999999998,15.492540000000002,26.086000000000002
25.08864,54.63732,18.07753,27.552333333333333,17.09122,28.911,7.43255,11.747166666666667,18.333389999999998,27.840666666666667,15.46814,26.037166666666668
25.08876,54.63753,18.05294,27.50316666666667,17.06663,28.861833333333333,7.40795,11.698166666666667,18.308799999999998,27.7915,15.44355,25.988
25.08898,54.63796,18.00308,27.4035,17.016779999999997,28.762166666666666,7.3581,11.5985,18.25894,27.692,15.393690000000001,25.888333333333332
25.08843,54.63674,19.5883,29.6115,18.602,30.970166666666668,8.94332,13.8065,19.84416,29.9,16.97891,28.0965
25.08848,54.63835,17.97142,27.34016666666667,16.98512,28.699,7.32644,11.535166666666667,18.22729,27.628666666666668,15.36203,25.825166666666668
25.0886,54.63857,17.94577,27.288833333333333,16.95946,28.647666666666666,7.30078,11.483833333333333,18.20163,27.577333333333335,15.336379999999998,25.773833333333336
25.08877,54.6389,17.90748,27.212333333333333,16.92118,28.571166666666667,7.2625,11.407333333333334,18.163349999999998,27.500833333333333,15.29809,25.697333333333333
25.08886,54.63909,17.88559,27.168666666666663,16.89929,28.527333333333335,7.240609999999999,11.363499999999998,18.14146,27.457,15.276200000000001,25.6535
25.08823,54.63789,18.02504,27.447333333333333,17.03874,28.806166666666666,7.38006,11.642333333333333,18.280900000000003,27.735833333333336,15.41565,25.932333333333336
25.08813,54.63771,18.04606,27.48933333333333,17.059759999999997,28.848166666666668,7.40108,11.684333333333333,18.30193,27.777833333333334,15.43667,25.974333333333334
25.0879,54.63728,18.09612,27.589499999999997,17.109810000000003,28.94816666666667,7.45113,11.784333333333333,18.35198,27.877833333333335,15.48673,26.074333333333335
25.08802,54.63749,18.07152,27.540333333333333,17.08522,28.899,7.42654,11.735166666666666,18.32739,27.828666666666667,15.462129999999998,26.025166666666667
25.08833,54.63807,18.00402,27.40533333333333,17.017709999999997,28.764,7.35903,11.600333333333333,18.259880000000003,27.693833333333334,15.39463,25.89016666666667
25.08762,54.63696,18.13059,27.658333333333335,17.14429,29.017166666666665,7.485609999999999,11.853333333333333,18.38645,27.946833333333334,15.5212,26.14333333333333
25.08749,54.637,18.13059,27.658333333333335,17.14429,29.017166666666665,7.485609999999999,11.853333333333333,18.38645,27.946833333333334,15.5212,26.14333333333333
25.08786,54.63791,18.03009,27.4575,17.04379,28.816166666666668,7.38511,11.6525,18.28596,27.746,15.4207,25.942333333333334
25.08757,54.63736,18.09403,27.58533333333333,17.10773,28.944000000000003,7.449050000000001,11.780166666666666,18.3499,27.87366666666667,15.484639999999999,26.07016666666667
25.08766,54.63753,18.07426,27.545666666666666,17.08796,28.9045,7.429279999999999,11.740666666666668,18.33013,27.834166666666665,15.464870000000001,26.030666666666665
25.08774,54.6377,18.054689999999997,27.506666666666668,17.06838,28.865333333333336,7.4097,11.701500000000001,18.31055,27.795,15.4453,25.9915
25.08799,54.63815,18.00213,27.4015,17.015819999999998,28.76033333333333,7.35714,11.596499999999999,18.257990000000003,27.69,15.39274,25.8865
